Number,Signal,IOStandard
AC45,MGT1_RXP<0>,DIFF_HSTL_I_18 (Default)
AB43,MGT1_RXP<1>,DIFF_HSTL_I_18 (Default)
G45,MGT1_RXP<10>,DIFF_HSTL_I_18 (Default)
E45,MGT1_RXP<11>,DIFF_HSTL_I_18 (Default)
AA45,MGT1_RXP<2>,DIFF_HSTL_I_18 (Default)
Y43,MGT1_RXP<3>,DIFF_HSTL_I_18 (Default)
W45,MGT1_RXP<4>,DIFF_HSTL_I_18 (Default)
U45,MGT1_RXP<5>,DIFF_HSTL_I_18 (Default)
R45,MGT1_RXP<6>,DIFF_HSTL_I_18 (Default)
N45,MGT1_RXP<7>,DIFF_HSTL_I_18 (Default)
L45,MGT1_RXP<8>,DIFF_HSTL_I_18 (Default)
J45,MGT1_RXP<9>,DIFF_HSTL_I_18 (Default)
AC41,MGT1_TXN<0>,DIFF_HSTL_I_18 (Default)
AA41,MGT1_TXN<1>,DIFF_HSTL_I_18 (Default)
D43,MGT1_TXN<10>,DIFF_HSTL_I_18 (Default)
B43,MGT1_TXN<11>,DIFF_HSTL_I_18 (Default)
W41,MGT1_TXN<2>,DIFF_HSTL_I_18 (Default)
U41,MGT1_TXN<3>,DIFF_HSTL_I_18 (Default)
T43,MGT1_TXN<4>,DIFF_HSTL_I_18 (Default)
P43,MGT1_TXN<5>,DIFF_HSTL_I_18 (Default)
M43,MGT1_TXN<6>,DIFF_HSTL_I_18 (Default)
K43,MGT1_TXN<7>,DIFF_HSTL_I_18 (Default)
H43,MGT1_TXN<8>,DIFF_HSTL_I_18 (Default)
F43,MGT1_TXN<9>,DIFF_HSTL_I_18 (Default)
AC40,MGT1_TXP<0>,DIFF_HSTL_I_18 (Default)
AA40,MGT1_TXP<1>,DIFF_HSTL_I_18 (Default)
D42,MGT1_TXP<10>,DIFF_HSTL_I_18 (Default)
B42,MGT1_TXP<11>,DIFF_HSTL_I_18 (Default)
W40,MGT1_TXP<2>,DIFF_HSTL_I_18 (Default)
U40,MGT1_TXP<3>,DIFF_HSTL_I_18 (Default)
T42,MGT1_TXP<4>,DIFF_HSTL_I_18 (Default)
P42,MGT1_TXP<5>,DIFF_HSTL_I_18 (Default)
M42,MGT1_TXP<6>,DIFF_HSTL_I_18 (Default)
K42,MGT1_TXP<7>,DIFF_HSTL_I_18 (Default)
H42,MGT1_TXP<8>,DIFF_HSTL_I_18 (Default)
F42,MGT1_TXP<9>,DIFF_HSTL_I_18 (Default)
AD1,MGT2_RXN<0>,DIFF_HSTL_I_18 (Default)
AC3,MGT2_RXN<1>,DIFF_HSTL_I_18 (Default)
F1,MGT2_RXN<10>,DIFF_HSTL_I_18 (Default)
D1,MGT2_RXN<11>,DIFF_HSTL_I_18 (Default)
AB1,MGT2_RXN<2>,DIFF_HSTL_I_18 (Default)
AA3,MGT2_RXN<3>,DIFF_HSTL_I_18 (Default)
T1,MGT2_RXN<4>,DIFF_HSTL_I_18 (Default)
R3,MGT2_RXN<5>,DIFF_HSTL_I_18 (Default)
P1,MGT2_RXN<6>,DIFF_HSTL_I_18 (Default)
M1,MGT2_RXN<7>,DIFF_HSTL_I_18 (Default)
K1,MGT2_RXN<8>,DIFF_HSTL_I_18 (Default)
H1,MGT2_RXN<9>,DIFF_HSTL_I_18 (Default)
AD2,MGT2_RXP<0>,DIFF_HSTL_I_18 (Default)
AC4,MGT2_RXP<1>,DIFF_HSTL_I_18 (Default)
F2,MGT2_RXP<10>,DIFF_HSTL_I_18 (Default)
D2,MGT2_RXP<11>,DIFF_HSTL_I_18 (Default)
AB2,MGT2_RXP<2>,DIFF_HSTL_I_18 (Default)
AA4,MGT2_RXP<3>,DIFF_HSTL_I_18 (Default)
T2,MGT2_RXP<4>,DIFF_HSTL_I_18 (Default)
R4,MGT2_RXP<5>,DIFF_HSTL_I_18 (Default)
P2,MGT2_RXP<6>,DIFF_HSTL_I_18 (Default)
M2,MGT2_RXP<7>,DIFF_HSTL_I_18 (Default)
K2,MGT2_RXP<8>,DIFF_HSTL_I_18 (Default)
H2,MGT2_RXP<9>,DIFF_HSTL_I_18 (Default)
AF6,MGT2_TXN<0>,DIFF_HSTL_I_18 (Default)
AD6,MGT2_TXN<1>,DIFF_HSTL_I_18 (Default)
E4,MGT2_TXN<10>,DIFF_HSTL_I_18 (Default)
C4,MGT2_TXN<11>,DIFF_HSTL_I_18 (Default)
AB6,MGT2_TXN<2>,DIFF_HSTL_I_18 (Default)
Y6,MGT2_TXN<3>,DIFF_HSTL_I_18 (Default)
L4,MGT2_TXN<4>,DIFF_HSTL_I_18 (Default)
K6,MGT2_TXN<5>,DIFF_HSTL_I_18 (Default)
J4,MGT2_TXN<6>,DIFF_HSTL_I_18 (Default)
H6,MGT2_TXN<7>,DIFF_HSTL_I_18 (Default)
G4,MGT2_TXN<8>,DIFF_HSTL_I_18 (Default)
F6,MGT2_TXN<9>,DIFF_HSTL_I_18 (Default)
AF7,MGT2_TXP<0>,DIFF_HSTL_I_18 (Default)
AD7,MGT2_TXP<1>,DIFF_HSTL_I_18 (Default)
E5,MGT2_TXP<10>,DIFF_HSTL_I_18 (Default)
C5,MGT2_TXP<11>,DIFF_HSTL_I_18 (Default)
AB7,MGT2_TXP<2>,DIFF_HSTL_I_18 (Default)
Y7,MGT2_TXP<3>,DIFF_HSTL_I_18 (Default)
L5,MGT2_TXP<4>,DIFF_HSTL_I_18 (Default)
K7,MGT2_TXP<5>,DIFF_HSTL_I_18 (Default)
J5,MGT2_TXP<6>,DIFF_HSTL_I_18 (Default)
H7,MGT2_TXP<7>,DIFF_HSTL_I_18 (Default)
G5,MGT2_TXP<8>,DIFF_HSTL_I_18 (Default)
F7,MGT2_TXP<9>,DIFF_HSTL_I_18 (Default)
AH30,MMB_DATA<0>,LVCMOS18
AG33,MMB_DATA<1>,LVCMOS18
AJ35,MMB_DATA<10>,LVCMOS18
AK33,MMB_DATA<11>,LVCMOS18
AJ33,MMB_DATA<12>,LVCMOS18
AM31,MMB_DATA<13>,LVCMOS18
AK30,MMB_DATA<14>,LVCMOS18
AK29,MMB_DATA<15>,LVCMOS18
AJ31,MMB_DATA<16>,LVCMOS18
AJ30,MMB_DATA<17>,LVCMOS18
AL31,MMB_DATA<18>,LVCMOS18
AL30,MMB_DATA<19>,LVCMOS18
AG32,MMB_DATA<2>,LVCMOS18
AM29,MMB_DATA<20>,LVCMOS18
AL29,MMB_DATA<21>,LVCMOS18
AK32,MMB_DATA<22>,LVCMOS18
AJ32,MMB_DATA<23>,LVCMOS18
AH31,MMB_DATA<3>,LVCMOS18
AG31,MMB_DATA<4>,LVCMOS18
AH35,MMB_DATA<5>,LVCMOS18
AG34,MMB_DATA<6>,LVCMOS18
AH34,MMB_DATA<7>,LVCMOS18
AH33,MMB_DATA<8>,LVCMOS18
AJ36,MMB_DATA<9>,LVCMOS18
AN35,MMB_DE,LVCMOS18
AN36,MMB_HS,LVCMOS18
AP33,MMB_IDCLK_R,LVCMOS18
AP35,MMB_SCK_R,LVCMOS18
AR35,MMB_SD<0>,LVCMOS18
AP38,MMB_SD<1>,LVCMOS18
AP37,MMB_SD<2>,LVCMOS18
AP36,MMB_SD<3>,LVCMOS18
AR37,MMB_VS,LVCMOS18
AR38,MMB_WS,LVCMOS18
AM33,OSCCLKA<0>,LVCMOS18
AK34,OSCCLKA<1>,LVCMOS18
AW23,OSCCLKA<2>,LVCMOS18
AY24,OSCCLKA<3>,LVCMOS18
AU19,OSCCLKA<4>,LVCMOS18
H27,OSCCLKA<5>,LVCMOS18
K21,OSCCLKB<0>,LVCMOS12
K22,OSCCLKB<1>,LVCMOS12
R14,OSCCLKB<2>,LVCMOS18
C10,OSCCLKB<3>,LVCMOS18
AK14,PB_IRQ,LVCMOS18
W8,PCIE_CLKN,DIFF_HSTL_I_18 (Default)
W9,PCIE_CLKP,DIFF_HSTL_I_18 (Default)
C19,PCIE_nPERST,LVCMOS18
A20,PCIE_nPRSNT<0>,LVCMOS18
A19,PCIE_nPRSNT<1>,LVCMOS18
C18,PCIE_nWAKE,LVCMOS18
Y1,PCIE_PERN<0>,DIFF_HSTL_I_18 (Default)
W3,PCIE_PERN<1>,DIFF_HSTL_I_18 (Default)
V1,PCIE_PERN<2>,DIFF_HSTL_I_18 (Default)
U3,PCIE_PERN<3>,DIFF_HSTL_I_18 (Default)
Y2,PCIE_PERP<0>,DIFF_HSTL_I_18 (Default)
W4,PCIE_PERP<1>,DIFF_HSTL_I_18 (Default)
V2,PCIE_PERP<2>,DIFF_HSTL_I_18 (Default)
U4,PCIE_PERP<3>,DIFF_HSTL_I_18 (Default)
V6,PCIE_PETN<0>,DIFF_HSTL_I_18 (Default)
T6,PCIE_PETN<1>,DIFF_HSTL_I_18 (Default)
P6,PCIE_PETN<2>,DIFF_HSTL_I_18 (Default)
M6,PCIE_PETN<3>,DIFF_HSTL_I_18 (Default)
V7,PCIE_PETP<0>,DIFF_HSTL_I_18 (Default)
T7,PCIE_PETP<1>,DIFF_HSTL_I_18 (Default)
P7,PCIE_PETP<2>,DIFF_HSTL_I_18 (Default)
M7,PCIE_PETP<3>,DIFF_HSTL_I_18 (Default)
C17,PEX_nFATAL,LVCMOS18
B20,PEX_nINTA,LVCMOS18
B18,PEX_nPERST,LVCMOS18
AA12,QSPI_D<0>,LVCMOS18
Y14,QSPI_D<1>,LVCMOS18
Y13,QSPI_D<2>,LVCMOS18
Y12,QSPI_D<3>,LVCMOS18
AA14,QSPI_nCS,LVCMOS18
AA13,QSPI_SCLK_R,LVCMOS18
BB9,REFCLK24,LVCMOS18
T15,SH_ADC_CK_R,LVCMOS18
T16,SH_ADC_CS,LVCMOS18
U16,SH_ADC_DI,LVCMOS18
U15,SH_ADC_DO,LVCMOS18
U13,SH_CLKI,LVCMOS18
T14,SH_CLKO_R,LVCMOS18
C9,SH_nRST,LVCMOS18
AU22,SH_RSVDN<0>,LVDS
AV23,SH_RSVDN<1>,LVDS
AT22,SH_RSVDP<0>,LVDS
AU23,SH_RSVDP<1>,LVDS
M15,SH0_IO<0>,LVCMOS18
M13,SH0_IO<1>,LVCMOS18
K13,SH0_IO<10>,LVCMOS18
K12,SH0_IO<11>,LVCMOS18
K11,SH0_IO<12>,LVCMOS18
J14,SH0_IO<13>,LVCMOS18
J12,SH0_IO<14>,LVCMOS18
J11,SH0_IO<15>,LVCMOS18
M12,SH0_IO<2>,LVCMOS18
M11,SH0_IO<3>,LVCMOS18
L15,SH0_IO<4>,LVCMOS18
L14,SH0_IO<5>,LVCMOS18
L13,SH0_IO<6>,LVCMOS18
L11,SH0_IO<7>,LVCMOS18
K14,SH0_IO<8>,LVCMOS18
V13,SH0_IO<9>,LVCMOS18
F13,SH0_nEN<0>,LVCMOS18
E14,SH0_nEN<1>,LVCMOS18
G13,SH0_nEN<10>,LVCMOS18
G15,SH0_nEN<11>,LVCMOS18
H12,SH0_nEN<12>,LVCMOS18
H13,SH0_nEN<13>,LVCMOS18
H14,SH0_nEN<14>,LVCMOS18
H15,SH0_nEN<15>,LVCMOS18
F9,SH0_nEN<2>,LVCMOS18
F10,SH0_nEN<3>,LVCMOS18
F11,SH0_nEN<4>,LVCMOS18
F14,SH0_nEN<5>,LVCMOS18
F15,SH0_nEN<6>,LVCMOS18
G10,SH0_nEN<7>,LVCMOS18
G11,SH0_nEN<8>,LVCMOS18
G12,SH0_nEN<9>,LVCMOS18
U12,SH1_IO<0>,LVCMOS18
U11,SH1_IO<1>,LVCMOS18
R16,SH1_IO<10>,LVCMOS18
P15,SH1_IO<11>,LVCMOS18
N15,SH1_IO<12>,LVCMOS18
N14,SH1_IO<13>,LVCMOS18
N13,SH1_IO<14>,LVCMOS18
N12,SH1_IO<15>,LVCMOS18
T11,SH1_IO<2>,LVCMOS18
R11,SH1_IO<3>,LVCMOS18
R12,SH1_IO<4>,LVCMOS18
R13,SH1_IO<5>,LVCMOS18
W15,SH1_IO<6>,LVCMOS18
P11,SH1_IO<7>,LVCMOS18
P12,SH1_IO<8>,LVCMOS18
P14,SH1_IO<9>,LVCMOS18
D8,SH1_nEN<0>,LVCMOS18
C12,SH1_nEN<1>,LVCMOS18
D14,SH1_nEN<10>,LVCMOS18
D15,SH1_nEN<11>,LVCMOS18
E9,SH1_nEN<12>,LVCMOS18
E11,SH1_nEN<13>,LVCMOS18
E12,SH1_nEN<14>,LVCMOS18
E13,SH1_nEN<15>,LVCMOS18
C13,SH1_nEN<2>,LVCMOS18
C14,SH1_nEN<3>,LVCMOS18
C15,SH1_nEN<4>,LVCMOS18
D7,SH1_nEN<5>,LVCMOS18
D9,SH1_nEN<6>,LVCMOS18
D10,SH1_nEN<7>,LVCMOS18
D11,SH1_nEN<8>,LVCMOS18
D12,SH1_nEN<9>,LVCMOS18
E19,SMBM_A<16>,LVCMOS18
F16,SMBM_A<17>,LVCMOS18
F20,SMBM_A<18>,LVCMOS18
G16,SMBM_A<19>,LVCMOS18
G20,SMBM_A<20>,LVCMOS18
J16,SMBM_A<21>,LVCMOS18
J19,SMBM_A<22>,LVCMOS18
K16,SMBM_A<23>,LVCMOS18
K17,SMBM_A<24>,LVCMOS18
K18,SMBM_A<25>,LVCMOS18
H19,SMBM_CLK,LVCMOS18
K19,SMBM_D<0>,LVCMOS18
L16,SMBM_D<1>,LVCMOS18
P16,SMBM_D<10>,LVCMOS18
P17,SMBM_D<11>,LVCMOS18
P19,SMBM_D<12>,LVCMOS18
R17,SMBM_D<13>,LVCMOS18
R18,SMBM_D<14>,LVCMOS18
R19,SMBM_D<15>,LVCMOS18
L18,SMBM_D<2>,LVCMOS18
L19,SMBM_D<3>,LVCMOS18
M16,SMBM_D<4>,LVCMOS18
M17,SMBM_D<5>,LVCMOS18
M18,SMBM_D<6>,LVCMOS18
N17,SMBM_D<7>,LVCMOS18
N18,SMBM_D<8>,LVCMOS18
N19,SMBM_D<9>,LVCMOS18
E17,SMBM_nBL<0>,LVCMOS18
E18,SMBM_nBL<1>,LVCMOS18
E16,SMBM_nE<1>,LVCMOS18
G17,SMBM_nE<2>,LVCMOS18
F18,SMBM_nE<3>,LVCMOS18
F19,SMBM_nE<4>,LVCMOS18
H18,SMBM_nOE,LVCMOS18
H17,SMBM_nWAIT,LVCMOS18
J17,SMBM_nWE,LVCMOS18
AV8,UART_RX_F<0>,LVCMOS18
AV9,UART_RX_F<1>,LVCMOS18
BB7,UART_RX_F<2>,LVCMOS18
BA7,UART_RX_F<3>,LVCMOS18
AW7,UART_TX_F<0>,LVCMOS18
AW8,UART_TX_F<1>,LVCMOS18
AY7,UART_TX_F<2>,LVCMOS18
AY8,UART_TX_F<3>,LVCMOS18
T13,USD_CLK_R,LVCMOS18
W12,USD_CMD,LVCMOS18
V16,USD_DAT<0>,LVCMOS18
V15,USD_DAT<1>,LVCMOS18
W14,USD_DAT<2>,LVCMOS18
V14,USD_DAT<3>,LVCMOS18
V12,USD_NCD,LVCMOS18
B7,USER_nLED<0>,LVCMOS18
B8,USER_nLED<1>,LVCMOS18
B10,USER_nLED<2>,LVCMOS18
B11,USER_nLED<3>,LVCMOS18
B12,USER_nLED<4>,LVCMOS18
B13,USER_nLED<5>,LVCMOS18
B15,USER_nLED<6>,LVCMOS18
B16,USER_nLED<7>,LVCMOS18
C7,USER_nLED<8>,LVCMOS18
C8,USER_nLED<9>,LVCMOS18
B17,USER_nPB<0>,LVCMOS18
A18,USER_nPB<1>,LVCMOS18
K23,USER_SW<0>,LVCMOS12
B22,USER_SW<1>,LVCMOS12
B21,USER_SW<2>,LVCMOS12
J20,USER_SW<3>,LVCMOS12
H20,USER_SW<4>,LVCMOS12
D21,USER_SW<5>,LVCMOS12
L23,USER_SW<6>,LVCMOS12
D22,USER_SW<7>,LVCMOS12
AK13,WDOG_RREQ,LVCMOS18
