Number,Signal,IOStandard
F23,CSI_RESET_B,LVCMOS12
J22,CSI_SCL<0>,LVCMOS12
J21,CSI_SCL<1>,LVCMOS12
C22,CSI_SCL<2>,LVCMOS12
M21,CSI_SDA<0>,LVCMOS12
M20,CSI_SDA<1>,LVCMOS12
L21,CSI_SDA<2>,LVCMOS12
A11,CSI_XCLK,LVCMOS18
BD32,DDR_A<0>,SSTL12_DCI
BE33,DDR_A<1>,SSTL12_DCI
BA32,DDR_A<10>,SSTL12_DCI
BB33,DDR_A<11>,SSTL12_DCI
BA30,DDR_A<12>,SSTL12_DCI
BA31,DDR_A<13>,SSTL12_DCI
BF30,DDR_A<2>,SSTL12_DCI
BF31,DDR_A<3>,SSTL12_DCI
BC33,DDR_A<4>,SSTL12_DCI
BD33,DDR_A<5>,SSTL12_DCI
BC31,DDR_A<6>,SSTL12_DCI
BD31,DDR_A<7>,SSTL12_DCI
BB31,DDR_A<8>,SSTL12_DCI
BB32,DDR_A<9>,SSTL12_DCI
AY33,DDR_BA<0>,SSTL12_DCI
AV33,DDR_BA<1>,SSTL12_DCI
AW33,DDR_BG<0>,SSTL12_DCI
AV30,DDR_BG<1>,SSTL12_DCI
AR30,DDR_CHIPID<0>,LVCMOS12
AR32,DDR_CHIPID<1>,LVCMOS12
BF32,DDR_CK_N<0>,DIFF_SSTL12_DCI
BE30,DDR_CK_N<1>,DIFF_SSTL12_DCI
BE32,DDR_CK_P<0>,DIFF_SSTL12_DCI
BD30,DDR_CK_P<1>,DIFF_SSTL12_DCI
AU34,DDR_CKE<0>,SSTL12_DCI
AU29,DDR_CKE<1>,SSTL12_DCI
AV35,DDR_DM<0>,POD12_DCI
AY37,DDR_DM<1>,POD12_DCI
BE40,DDR_DM<2>,POD12_DCI
BC34,DDR_DM<3>,POD12_DCI
BE29,DDR_DM<4>,POD12_DCI
BA29,DDR_DM<5>,POD12_DCI
AW26,DDR_DM<6>,POD12_DCI
AR27,DDR_DM<7>,POD12_DCI
AU38,DDR_DQ<0>,POD12_DCI
AU39,DDR_DQ<1>,POD12_DCI
BA39,DDR_DQ<10>,POD12_DCI
AY38,DDR_DQ<11>,POD12_DCI
AW40,DDR_DQ<12>,POD12_DCI
AY40,DDR_DQ<13>,POD12_DCI
BA40,DDR_DQ<14>,POD12_DCI
AY39,DDR_DQ<15>,POD12_DCI
BB38,DDR_DQ<16>,POD12_DCI
BC38,DDR_DQ<17>,POD12_DCI
BC39,DDR_DQ<18>,POD12_DCI
BD40,DDR_DQ<19>,POD12_DCI
AU40,DDR_DQ<2>,POD12_DCI
BD37,DDR_DQ<20>,POD12_DCI
BB39,DDR_DQ<21>,POD12_DCI
BE38,DDR_DQ<22>,POD12_DCI
BD38,DDR_DQ<23>,POD12_DCI
BE34,DDR_DQ<24>,POD12_DCI
BF34,DDR_DQ<25>,POD12_DCI
BC35,DDR_DQ<26>,POD12_DCI
BC36,DDR_DQ<27>,POD12_DCI
BD36,DDR_DQ<28>,POD12_DCI
BE37,DDR_DQ<29>,POD12_DCI
AV40,DDR_DQ<3>,POD12_DCI
BF36,DDR_DQ<30>,POD12_DCI
BF37,DDR_DQ<31>,POD12_DCI
BF26,DDR_DQ<32>,POD12_DCI
BF27,DDR_DQ<33>,POD12_DCI
BD28,DDR_DQ<34>,POD12_DCI
BE28,DDR_DQ<35>,POD12_DCI
BD27,DDR_DQ<36>,POD12_DCI
BE27,DDR_DQ<37>,POD12_DCI
BD25,DDR_DQ<38>,POD12_DCI
BD26,DDR_DQ<39>,POD12_DCI
AW35,DDR_DQ<4>,POD12_DCI
BC25,DDR_DQ<40>,POD12_DCI
BC26,DDR_DQ<41>,POD12_DCI
BB28,DDR_DQ<42>,POD12_DCI
BC28,DDR_DQ<43>,POD12_DCI
AY27,DDR_DQ<44>,POD12_DCI
AY28,DDR_DQ<45>,POD12_DCI
BA27,DDR_DQ<46>,POD12_DCI
BB27,DDR_DQ<47>,POD12_DCI
AU26,DDR_DQ<48>,POD12_DCI
AV26,DDR_DQ<49>,POD12_DCI
AW36,DDR_DQ<5>,POD12_DCI
AV28,DDR_DQ<50>,POD12_DCI
AW28,DDR_DQ<51>,POD12_DCI
AU27,DDR_DQ<52>,POD12_DCI
AU28,DDR_DQ<53>,POD12_DCI
AR25,DDR_DQ<54>,POD12_DCI
AT25,DDR_DQ<55>,POD12_DCI
AM26,DDR_DQ<56>,POD12_DCI
AN26,DDR_DQ<57>,POD12_DCI
AP27,DDR_DQ<58>,POD12_DCI
AP28,DDR_DQ<59>,POD12_DCI
AV38,DDR_DQ<6>,POD12_DCI
AP25,DDR_DQ<60>,POD12_DCI
AP26,DDR_DQ<61>,POD12_DCI
